group_id,assigned_split,usable_train_count,usable_eval_count,sample_ids
101720,train,23,23,101720__2025_02_07_13_56_22_742686__1036486|101720__2025_02_07_13_56_22_742686__1357503|101720__2025_02_07_13_56_22_742686__2844383|101720__2025_02_07_13_56_22_742686__330994|101720__2025_02_07_13_56_22_742686__3346067|101720__2025_02_07_13_56_22_742686__3679039|101720__2025_02_07_13_56_22_742686__4054439|101720__2025_02_07_13_56_22_742686__4576017|101720__2025_02_07_13_56_22_742686__4618371|101720__2025_02_07_13_56_22_742686__4870288|101720__2025_02_07_13_56_22_742686__5402195|101720__2025_02_07_13_56_22_742686__5419087|101720__2025_02_07_13_56_22_742686__5446083|101720__2025_02_07_13_56_22_742686__5608731|101720__2025_02_07_13_56_22_742686__6140333|101720__2025_02_07_13_56_22_742686__6529376|101720__2025_02_07_13_56_22_742686__6656089|101720__2025_02_07_13_56_22_742686__7145321|101720__2025_02_07_13_56_22_742686__7597373|101720__2025_02_07_13_56_22_742686__7644775|101720__2025_02_07_13_56_22_742686__8088878|101720__2025_02_07_13_56_22_742686__9412644|101720__2025_02_07_13_56_22_742686__9498462
101773,train,14,14,101773__2026_01_27_11_03_03_380136__1860734|101773__2026_01_27_11_03_03_380136__3040157|101773__2026_01_27_11_03_03_380136__3416083|101773__2026_01_27_11_03_03_380136__3493791|101773__2026_01_27_11_03_03_380136__4206|101773__2026_01_27_11_03_03_380136__6076405|101773__2026_01_27_11_03_03_380136__631226|101773__2026_01_27_11_03_03_380136__6350246|101773__2026_01_27_11_03_03_380136__6373068|101773__2026_01_27_11_03_03_380136__7483998|101773__2026_01_27_11_03_03_380136__7503394|101773__2026_01_27_11_03_03_380136__7782179|101773__2026_01_27_11_03_03_380136__8780155|101773__2026_01_27_11_03_03_380136__889426
101879,train,12,12,101879__2025_09_29_14_17_57_268617__1586812|101879__2025_09_29_14_17_57_268617__2080721|101879__2025_09_29_14_17_57_268617__2673517|101879__2025_09_29_14_17_57_268617__4128020|101879__2025_09_29_14_17_57_268617__4675173|101879__2025_09_29_14_17_57_268617__4826206|101879__2025_09_29_14_17_57_268617__4891534|101879__2025_09_29_14_17_57_268617__4900846|101879__2025_09_29_14_17_57_268617__5140594|101879__2025_09_29_14_17_57_268617__7765717|101879__2025_09_29_14_17_57_268617__8323671|101879__2025_09_29_14_17_57_268617__978956
102238,train,17,17,102238__2025_09_29_14_42_32_51334__1503865|102238__2025_09_29_14_42_32_51334__1619039|102238__2025_09_29_14_42_32_51334__1743960|102238__2025_09_29_14_42_32_51334__2414145|102238__2025_09_29_14_42_32_51334__3435683|102238__2025_09_29_14_42_32_51334__3696301|102238__2025_09_29_14_42_32_51334__3944497|102238__2025_09_29_14_42_32_51334__4135628|102238__2025_09_29_14_42_32_51334__4267955|102238__2025_09_29_14_42_32_51334__4412843|102238__2025_09_29_14_42_32_51334__5445807|102238__2025_09_29_14_42_32_51334__5451054|102238__2025_09_29_14_42_32_51334__7128485|102238__2025_09_29_14_42_32_51334__7942747|102238__2025_09_29_14_42_32_51334__8488478|102238__2025_09_29_14_42_32_51334__8546221|102238__2025_09_29_14_42_32_51334__947002
102270,train,2,2,102270__2025_03_20_09_34_30_738210__6024497|102270__2025_03_20_09_34_30_738210__9904657
102455,train,3,3,102455__2025_03_20_09_17_15_98408__4353553|102455__2025_03_20_09_17_15_98408__8722000|102455__2025_03_20_09_17_15_98408__974747
102478,train,4,4,102478__2025_03_20_09_25_50_775130__1479084|102478__2025_03_20_09_25_50_775130__8208530|102478__2025_03_20_09_25_50_775130__8889295|102478__2025_03_20_09_25_50_775130__945145
102487,train,5,5,102487__2025_03_20_09_21_52_702063__1894105|102487__2025_03_20_09_21_52_702063__2134962|102487__2025_03_20_09_21_52_702063__258902|102487__2025_03_20_09_21_52_702063__4151595|102487__2025_03_20_09_21_52_702063__6102314
102966,train,4,4,102966__2025_04_23_09_15_22_574073__1149652|102966__2025_04_23_09_15_22_574073__4233264|102966__2025_04_23_09_15_22_574073__5129404|102966__2025_04_23_09_15_22_574073__7086880
104173,train,2,2,104173__2025_05_15_10_58_22_187034__3223815|104173__2025_05_15_10_58_22_187034__4558934
109395,train,11,11,109395__2025_12_16_17_05_22_689098__4100131|109395__2025_12_16_17_05_22_689098__4219268|109395__2025_12_16_17_05_22_689098__4450586|109395__2025_12_16_17_05_22_689098__5307474|109395__2025_12_16_17_05_22_689098__5824150|109395__2025_12_16_17_05_22_689098__6671949|109395__2025_12_16_17_05_22_689098__6706323|109395__2025_12_16_17_05_22_689098__8104044|109395__2025_12_16_17_05_22_689098__8600012|109395__2025_12_16_17_05_22_689098__9174177|109395__2025_12_16_17_05_22_689098__9401076
73539,train,9,9,73539__2025_02_06_10_51_34_380279__1373621|73539__2025_02_06_10_51_34_380279__1758225|73539__2025_02_06_10_51_34_380279__1844252|73539__2025_02_06_10_51_34_380279__284151|73539__2025_02_06_10_51_34_380279__4860188|73539__2025_02_06_10_51_34_380279__4884676|73539__2025_02_06_10_51_34_380279__5268693|73539__2025_02_06_10_51_34_380279__625684|73539__2025_02_06_10_51_34_380279__8778831
78192,train,27,27,78192__2025_02_06_11_04_02_84862__1370252|78192__2025_02_06_11_04_02_84862__146798|78192__2025_02_06_11_04_02_84862__1666470|78192__2025_02_06_11_04_02_84862__1827339|78192__2025_02_06_11_04_02_84862__2262784|78192__2025_02_06_11_04_02_84862__2312100|78192__2025_02_06_11_04_02_84862__2582276|78192__2025_02_06_11_04_02_84862__2607111|78192__2025_02_06_11_04_02_84862__3604027|78192__2025_02_06_11_04_02_84862__3807880|78192__2025_02_06_11_04_02_84862__6084462|78192__2025_02_06_11_04_02_84862__6177191|78192__2025_02_06_11_04_02_84862__6303198|78192__2025_02_06_11_04_02_84862__6502459|78192__2025_02_06_11_04_02_84862__6530712|78192__2025_02_06_11_04_02_84862__7295409|78192__2025_02_06_11_04_02_84862__7433666|78192__2025_02_06_11_04_02_84862__7789380|78192__2025_02_06_11_04_02_84862__8488853|78192__2025_02_06_11_04_02_84862__8506530|78192__2025_02_06_11_04_02_84862__8665127|78192__2025_02_06_11_04_02_84862__8751917|78192__2025_02_06_11_04_02_84862__913294|78192__2025_02_06_11_04_02_84862__9165057|78192__2025_02_06_11_04_02_84862__9530847|78192__2025_02_06_11_04_02_84862__9686799|78192__2025_02_06_11_04_02_84862__9703097
78709,train,1,1,78709__2025_02_06_11_21_39_830540__9482218
79442,train,5,5,79442__2025_02_06_11_30_57_289449__1878884|79442__2025_02_06_11_30_57_289449__4707084|79442__2025_02_06_11_30_57_289449__5139420|79442__2025_02_06_11_30_57_289449__9340456|79442__2025_02_06_11_30_57_289449__990091
82765,train,2,2,82765__2025_02_06_15_24_06_973921__2147932|82765__2025_02_06_15_24_06_973921__643068
95128,train,4,4,95128__2025_02_07_11_25_31_373289__4213854|95128__2025_02_07_11_25_31_373289__5913494|95128__2025_02_07_11_25_31_373289__706100|95128__2025_02_07_11_25_31_373289__7246090
95988,train,2,2,95988__2025_03_20_17_08_19_605178__2871765|95988__2025_03_20_17_08_19_605178__4571879
98307,train,2,2,98307__2025_03_20_15_37_04_74162__1208095|98307__2025_03_20_15_37_04_74162__6806880
106363,test,2,2,106363__2025_09_26_15_55_36_591464__1590177|106363__2025_09_26_15_55_36_591464__9543768
76355,test,8,8,76355__2025_09_21_21_24_34_307417__1107252|76355__2025_09_21_21_24_34_307417__2196080|76355__2025_09_21_21_24_34_307417__2338054|76355__2025_09_21_21_24_34_307417__2758365|76355__2025_09_21_21_24_34_307417__3315573|76355__2025_09_21_21_24_34_307417__8045201|76355__2025_09_21_21_24_34_307417__8267328|76355__2025_09_21_21_24_34_307417__8493526
96650,test,10,10,96650__2025_02_07_13_43_15_586952__338488|96650__2025_02_07_13_43_15_586952__4004407|96650__2025_02_07_13_43_15_586952__6422619|96650__2025_02_07_13_43_15_586952__6665718|96650__2025_02_07_13_43_15_586952__7706619|96650__2025_02_07_13_43_15_586952__8145178|96650__2025_02_07_13_43_15_586952__8337781|96650__2025_02_07_13_43_15_586952__8617423|96650__2025_02_07_13_43_15_586952__923557|96650__2025_02_07_13_43_15_586952__9997948
99574,test,6,6,99574__2025_02_07_13_49_55_661479__1015040|99574__2025_02_07_13_49_55_661479__2066817|99574__2025_02_07_13_49_55_661479__3211135|99574__2025_02_07_13_49_55_661479__4086110|99574__2025_02_07_13_49_55_661479__6594788|99574__2025_02_07_13_49_55_661479__727770
99575,test,10,10,99575__2025_02_07_13_52_08_837875__1160377|99575__2025_02_07_13_52_08_837875__2162847|99575__2025_02_07_13_52_08_837875__2896724|99575__2025_02_07_13_52_08_837875__4333222|99575__2025_02_07_13_52_08_837875__5271562|99575__2025_02_07_13_52_08_837875__6257425|99575__2025_02_07_13_52_08_837875__6479604|99575__2025_02_07_13_52_08_837875__8428602|99575__2025_02_07_13_52_08_837875__961606|99575__2025_02_07_13_52_08_837875__9864600
98915,excluded,0,0,98915__2025_03_20_15_34_48_592480__1437002|98915__2025_03_20_15_34_48_592480__2735306|98915__2025_03_20_15_34_48_592480__3560676|98915__2025_03_20_15_34_48_592480__4421535|98915__2025_03_20_15_34_48_592480__6520836|98915__2025_03_20_15_34_48_592480__7589205|98915__2025_03_20_15_34_48_592480__7603928
