prepared_sample_id,split,status,group_id,export_batch,timestamp_dir,sample_dir,tif_name,image_hash,mark_count,duplicate_count,classes_present
109395__2025_12_16_17_05_22_689098__8104044,val,annotated_nonzero,109395,cases_export_1775094268776,2025_12_16_17_05_22_689098,8104044,E10939515.tif,2553a9ee98c3e79be393ed8465e0bc6679fae19e,680,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|Z线|M线|心肌侧管
,,template_only_no_mark_tables,104173,cases_export_1775094268776,2025_05_15_10_58_22_187034,7337512,10417314.tif,25aeca57d1194dd2b0d210a22a72d284d1adf906,0,1,
101431__2025_03_20_13_36_27_466882__8266802,train,groups_but_zero_marks,101431,cases_export_1775094268776,2025_03_20_13_36_27_466882,8266802,s-101431-1a0013.tif,261eaaf9c68bbaf40d319dafdbed0d22026a7243,0,1,
,,template_only_no_mark_tables,104173,cases_export_1775094268776,2025_05_15_10_58_22_187034,1207994,10417304.tif,2696bcf2eea181b4dbddeb2ceec7a8845d0e258a,0,1,
102455__2025_03_20_09_17_15_98408__4353553,train,annotated_nonzero,102455,cases_export_1775094268776,2025_03_20_09_17_15_98408,4353553,s-102455-1b0020.tif,26d31604bf4168a338a57f5975d2a58ee7cef47f,258,1,健康线粒体|Z线|M线|心肌侧管
99574__2025_02_07_13_49_55_661479__727770,train,annotated_nonzero,99574,cases_export_1775094268776,2025_02_07_13_49_55_661479,727770,s-99574-1a0001 (2).tif,2841a3ef604546f6abf5fea17078d18d0d307b03,31,1,健康线粒体|肌浆网|脂滴|Z线|M线
100952__2025_03_20_14_44_37_811870__8783881,test,annotated_nonzero,100952,cases_export_1775094268776,2025_03_20_14_44_37_811870,8783881,s-100952-1a0010.tif,289d249091fe45ad1fbefe7308d3305ff5492b08,302,2,严重损伤线粒体|中度损伤线粒体|健康线粒体|肌浆网|Z线|T管|M线|心肌侧管
99574__2025_02_07_13_49_55_661479__1015040,train,annotated_nonzero,99574,cases_export_1775094268776,2025_02_07_13_49_55_661479,1015040,s-99574-1a0026.tif,2945209559be08dac314db543ce19600f5b73931,257,1,健康线粒体|脂滴|Z线|T管|M线|心肌侧管
102238__2025_09_29_14_42_32_51334__7128485,test,annotated_nonzero,102238,cases_export_1775094268776,2025_09_29_14_42_32_51334,7128485,s-102238-1b0003.tif,296a5d34b9205c5d9b0e50a29cbc400c0921c4a4,149,1,中度损伤线粒体|健康线粒体|Z线|M线|心肌侧管
101720__2025_02_07_13_56_22_742686__7644775,val,annotated_nonzero,101720,cases_export_1775094268776,2025_02_07_13_56_22_742686,7644775,s-101720-1a0014.tif,29b07fcc14d9b4308ee0efda305f0883c8bbe096,179,1,中度损伤线粒体|健康线粒体|肌浆网|Z线|T管|M线|心肌侧管
79442__2025_02_06_11_30_57_289449__5139420,train,annotated_nonzero,79442,cases_export_1775099769937,2025_02_06_11_30_57_289449,5139420,s-79442-1a0009.tif,29ea21c4d5d4f65845f2a7f4e65997a43d851439,33,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|自噬线粒体|肌浆网
101773__2026_01_27_11_03_03_380136__1860734,val,annotated_nonzero,101773,cases_export_1775094268776,2026_01_27_11_03_03_380136,1860734,s-101773-1b0009.tif,2a4ee98e2ccce662bb924cf457f7d61d2a9d1b65,92,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|Z线|M线
,,template_only_no_mark_tables,101685,cases_export_1775094268776,2025_03_20_08_38_48_765312,6562151,s-101685-1a0018.tif,2a639964516e13f41b568b3b531ade1c58d3ba72,0,1,
101720__2025_02_07_13_56_22_742686__4662022,val,groups_but_zero_marks,101720,cases_export_1775094268776,2025_02_07_13_56_22_742686,4662022,s-101720-1a0010.tif,2b4b4b2ff440f13fc7ec3b3781b2a581ecd76861,0,1,
102455__2025_03_20_09_17_15_98408__3138145,train,groups_but_zero_marks,102455,cases_export_1775094268776,2025_03_20_09_17_15_98408,3138145,s-102455-1b0006.tif,2bf12f4d22ec93f3091566e7f37937c30f934b6f,0,1,
78192__2025_02_06_11_04_02_84862__7789380,train,annotated_nonzero,78192,cases_export_1775099769937,2025_02_06_11_04_02_84862,7789380,s-78192-1a0008 (2).tif,2c14653e1623c5cee7eb3d40113cb228770eeb3f,182,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|肌浆网|Z线|M线|心肌侧管
,,template_only_no_mark_tables,104173,cases_export_1775094268776,2025_05_15_10_58_22_187034,9970478,10417305.tif,2c1ccfcea2df6a95a21b6d1e3e4fc4a2c8d58b27,0,1,
102270__2025_03_20_09_34_30_738210__5968350,train,groups_but_zero_marks,102270,cases_export_1775094268776,2025_03_20_09_34_30_738210,5968350,s-102270-1b0011.tif,2d2ea13c343a890d2a013f3c2d315dfe2dae034e,0,1,
102455__2025_03_20_09_17_15_98408__7875431,train,groups_but_zero_marks,102455,cases_export_1775094268776,2025_03_20_09_17_15_98408,7875431,s-102455-1b0011.tif,2d7cebd3d0d7c2b9229d2c22fe5185b544708aa1,0,1,
101879__2025_09_29_14_17_57_268617__1586812,test,annotated_nonzero,101879,cases_export_1775094268776,2025_09_29_14_17_57_268617,1586812,s-101879-1b0005.tif,2dcfa75fab0e63c24f26e1d9879f4e0b4a26c6d8,169,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|Z线|M线|心肌侧管
78192__2025_02_06_11_04_02_84862__8751917,train,annotated_nonzero,78192,cases_export_1775099769937,2025_02_06_11_04_02_84862,8751917,s-78192-1a0006 (2).tif,2f510fe524b30679781dbe18c72b4bab046d47a3,218,1,健康线粒体|肌浆网|Z线|M线|心肌侧管
100404__2025_03_20_14_58_23_305559__4831159,train,annotated_nonzero,100404,cases_export_1775094268776,2025_03_20_14_58_23_305559,4831159,s-100404-1a0001.tif,2ff9ccd4a0fa98fdb9a231d493a2f6653dcc6b7f,50,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|Z线|M线|心肌侧管
96650__2025_02_07_13_43_15_586952__8145178,test,annotated_nonzero,96650,cases_export_1775094268776,2025_02_07_13_43_15_586952,8145178,s-96650-1b0006.tif,2ffc9d90442c8b546bd9f5a1d1e229514f0d75e0,106,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|脂滴|Z线|M线|心肌侧管
99574__2025_02_07_13_49_55_661479__9899706,train,groups_but_zero_marks,99574,cases_export_1775094268776,2025_02_07_13_49_55_661479,9899706,s-99574-1a0019.tif,31de2cbcb418a28ffe1382edfd625ce660566bfa,0,1,
76355__2025_09_21_21_24_34_307417__2196080,val,annotated_nonzero,76355,cases_export_1775094268776,2025_09_21_21_24_34_307417,2196080,76355-1a0001.tif,32c6ca4c38eacbaa317a01c9f5a1bf58571cbe27,86,1,中度损伤线粒体|健康线粒体|Z线|M线|心肌侧管
78709__2025_02_06_11_21_39_830540__796287,train,groups_but_zero_marks,78709,cases_export_1775099769937,2025_02_06_11_21_39_830540,796287,s-78709-1a0003.tif,32e35b3316d45a6b1d75cca9b6a3610e94014edd,0,1,
102270__2025_03_20_09_34_30_738210__3957988,train,groups_but_zero_marks,102270,cases_export_1775094268776,2025_03_20_09_34_30_738210,3957988,s-102270-1a0009.tif,338db390ab5e53992834ba5d8069b496ba625fc4,0,1,
100404__2025_03_20_14_58_23_305559__4592541,train,annotated_nonzero,100404,cases_export_1775094268776,2025_03_20_14_58_23_305559,4592541,s-100404-1b0001.tif,33ad900f517d3c61979261b2d8262a83996c95e7,293,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|肌浆网|脂滴|Z线|T管|M线|心肌侧管
102487__2025_03_20_09_21_52_702063__1485124,train,groups_but_zero_marks,102487,cases_export_1775094268776,2025_03_20_09_21_52_702063,1485124,s-102487-1a0011.tif,34482912922153c960304cb5184c45cd624a644f,0,1,
98307__2025_03_20_15_37_04_74162__2248820,train,groups_but_zero_marks,98307,cases_export_1775094268776,2025_03_20_15_37_04_74162,2248820,s-98307-1b0005.tif,344b67fdaeb6924fd56d048660e78eb85ebb9ca7,0,1,
102270__2025_03_20_09_34_30_738210__6024497,train,annotated_nonzero,102270,cases_export_1775094268776,2025_03_20_09_34_30_738210,6024497,s-102270-1b0002.tif,3464eb997a05b10e1637a8e199f303f48e0c6a61,141,1,健康线粒体|Z线样物质堆积|脂滴|Z线|心肌侧管
101581__2025_07_24_13_54_36_303072__691275,train,annotated_nonzero,101581,cases_export_1775094268776,2025_07_24_13_54_36_303072,691275,s-101581-1b0001.tif,34ae070db6877a20c94ce9070aa45a6618d8e0ed,383,1,健康线粒体|肌浆网|脂滴|Z线|M线|心肌侧管
100538__2025_02_07_13_53_31_253108__7139018,test,annotated_nonzero,100538,cases_export_1775094268776,2025_02_07_13_53_31_253108,7139018,s-100538-1b0006.tif,3504b3d0f7dad076a967f7d36337830209620e56,168,2,严重损伤线粒体|中度损伤线粒体|健康线粒体|自噬线粒体|肌浆网|Z线|M线|心肌侧管
101879__2025_09_29_14_17_57_268617__5140594,test,annotated_nonzero,101879,cases_export_1775094268776,2025_09_29_14_17_57_268617,5140594,s-101879-1a0005 - 副本.tif,35ead1fcb2e6a10ec4215577ab5495945782e04e,67,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|Z线|M线|心肌侧管
99574__2025_02_07_13_49_55_661479__904574,train,groups_but_zero_marks,99574,cases_export_1775094268776,2025_02_07_13_49_55_661479,904574,s-99574-1a0014.tif,36024aba6b4032cb9cccc466493b1013ac048c61,0,1,
102270__2025_03_20_09_34_30_738210__9904657,train,annotated_nonzero,102270,cases_export_1775094268776,2025_03_20_09_34_30_738210,9904657,s-102270-1b0016.tif,369ca0acefc50c0a34135a55a2f7fc3d41f692cc,423,1,严重损伤线粒体|健康线粒体|肌浆网|闰盘|Z线|T管|M线|心肌侧管
,,template_only_no_mark_tables,104173,cases_export_1775094268776,2025_05_15_10_58_22_187034,8060322,10417311.tif,372fcaae5a4d0b39e801ee6380cf418282a34886,0,1,
100952__2025_09_29_11_07_00_193879__2908371,test,annotated_nonzero,100952,cases_export_1775094268776,2025_09_29_11_07_00_193879,2908371,s-100952-1a0008.tif,3741dae6b5016556b96fc0c1b7d7c77b6663488f,179,1,中度损伤线粒体|健康线粒体|肌浆网|Z线|T管|M线|心肌侧管
100963__2025_09_29_13_51_14_561253__8046539,train,groups_but_zero_marks,100963,cases_export_1775094268776,2025_09_29_13_51_14_561253,8046539,s-1009630007.tif,3768bc77b86649db9ebbf681c2cc2c5e2fd88428,0,1,
78192__2025_02_06_11_04_02_84862__8488853,train,annotated_nonzero,78192,cases_export_1775099769937,2025_02_06_11_04_02_84862,8488853,s-78192-1a0009 (2).tif,398545eaa457fdec26e3485decdeecb679e86c70,281,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|肌浆网|Z线|M线|心肌侧管
101720__2025_02_07_13_56_22_742686__383969,val,groups_but_zero_marks,101720,cases_export_1775094268776,2025_02_07_13_56_22_742686,383969,s-101720-1a0002.tif,3a0dd0805a955b89d1b07ab8acc4ed20df6589fb,0,1,
102455__2025_03_20_09_17_15_98408__6529067,train,groups_but_zero_marks,102455,cases_export_1775094268776,2025_03_20_09_17_15_98408,6529067,s-102455-1a0006.tif,3aa0185bdea00cc53f01cc35dc83931732944703,0,1,
101773__2026_01_27_11_03_03_380136__3416083,val,annotated_nonzero,101773,cases_export_1775094268776,2026_01_27_11_03_03_380136,3416083,s-101773-1a0004.tif,3ac0a78ca8be08c815547dd32759c0283a25ba2f,274,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|Z线|T管|M线|心肌侧管
73539__2025_02_06_10_51_34_380279__625684,test,annotated_nonzero,73539,cases_export_1775099769937,2025_02_06_10_51_34_380279,625684,s-73539-1b0009.tif,3bfde1a7f0d9b149963942cb1af68366665c58fb,140,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|肌浆网|Z线|M线|心肌侧管
99574__2025_02_07_13_49_55_661479__6594788,train,annotated_nonzero,99574,cases_export_1775094268776,2025_02_07_13_49_55_661479,6594788,s-99574-1a0003.tif,3c489401ffed5d1f08c96d80a505d9c2d5ef94f1,301,1,严重损伤线粒体|中度损伤线粒体|健康线粒体|自噬线粒体|肌浆网|Z线|M线|心肌侧管
82765__2025_02_06_15_24_06_973921__87815,train,groups_but_zero_marks,82765,cases_export_1775094268776,2025_02_06_15_24_06_973921,87815,s-82765-1b0007.tif,3c6c693b7cdcc83e49fc435b3983ef7ff9df7c8e,0,1,
99574__2025_02_07_13_49_55_661479__2394544,train,groups_but_zero_marks,99574,cases_export_1775094268776,2025_02_07_13_49_55_661479,2394544,s-99574-1a0025.tif,3cb6f058e5cc9d33a5b094b37acb288fdfebb326,0,1,
99575__2025_02_07_13_52_08_837875__6479604,val,annotated_nonzero,99575,cases_export_1775094268776,2025_02_07_13_52_08_837875,6479604,s-99575-1a0002.tif,3cc725fddf82000473a971cae2de2c3070b3bc39,221,1,严重损伤线粒体|健康线粒体|自噬线粒体|肌浆网|闰盘|脂滴|Z线|T管|M线|心肌侧管
